"logFC","unshrunk.logFC","logCPM","PValue","FDR","topDE"
"Tcas010750",-1.53160479773097,-1.53989760381418,3.05162609459466,8.96404470707e-06,0.00159944169130435,"DOWN"
"Tcas004414",0.725877669488845,0.726051108404707,6.47728140046286,9.38293021524174e-06,0.0016448112054508,"NA"
"Tcas004939",1.46156813642585,1.46204794305007,6.2471706171138,9.63557805232572e-06,0.00165997751549722,"UP"
"Tcas007426",1.34914417281117,1.34981428253106,5.61544923595814,9.99891145219146e-06,0.00169337497000503,"UP"
"Tcas008723",1.67139149816193,1.67144437123495,9.73895733690553,1.03594843445759e-05,0.0017251994595167,"UP"
"Tcas001746",0.800544541007854,0.801290988399697,4.53370077627501,1.06665765625526e-05,0.00174722021332829,"NA"
"Tcas008684",1.14401861620545,1.14472209059175,5.26489190609864,1.12790578719209e-05,0.0017906654186509,"UP"
"Tcas007037",0.980094318050024,0.980291276989255,6.82747813979822,1.12902243169543e-05,0.0017906654186509,"NA"
"Tcas008244",-1.22456536819141,-1.22547782601703,5.0954650917954,1.16548183408415e-05,0.00180661959987449,"DOWN"
"Tcas011047",0.827310336963435,0.827398668095453,7.59492793018303,1.2015829164277e-05,0.00180661959987449,"NA"
"Tcas006459",1.96086080374367,1.96202398904355,5.62690043679354,1.20459380464818e-05,0.00180661959987449,"UP"
"Tcas007742",1.59316465601311,1.59360699113777,6.63769426019555,1.21140425532017e-05,0.00180661959987449,"UP"
"Tcas004737",0.849793433081522,0.849905811401241,7.39915045448356,1.34261917576703e-05,0.00197286041239179,"NA"
"Tcas004755",0.777265793639689,0.77736589220382,7.4042691229003,1.49832811169041e-05,0.00214836177120536,"NA"
"Tcas009886",1.12598338280727,1.1260467012598,8.62029059526473,1.50505728567229e-05,0.00214836177120536,"UP"
"Tcas000497",0.915757301780134,0.915804704124431,8.70812281141135,1.57551635775855e-05,0.00221726189390471,"NA"
"Tcas005162",1.02912997211462,1.02915209803414,9.95355188964729,1.64424202658992e-05,0.00228184254578979,"UP"
"Tcas009663",0.849253040939577,0.849753526764401,5.25596821406705,1.90852340958424e-05,0.0026123240970638,"NA"
"Tcas004599",1.73415885195011,1.73598032064449,4.7511565977083,1.95653358699586e-05,0.00264184913530576,"UP"
"Tcas000424",1.44360839829577,1.4436661749519,9.29890285765762,2.27333993399589e-05,0.00302869501606493,"UP"
"Tcas003545",0.816450018418497,0.816656597065431,6.46722838814712,2.32376295784911e-05,0.00305513677300372,"NA"
"Tcas001913",0.709415093500554,0.709525834991787,7.06373473596306,2.52306631192939e-05,0.00327408812841539,"NA"
"Tcas005087",1.02805762397447,1.02809394861697,9.32805873036092,2.62687460311364e-05,0.00334462626600568,"UP"
"Tcas012168",0.998819450894894,0.998865985111856,8.92365896555874,2.64437024634156e-05,0.00334462626600568,"NA"
"Tcas003282",3.1480711512501,3.1501538683324,6.12301522028814,2.70166559011193e-05,0.0033743803220498,"UP"
"Tcas005588",0.646100636251579,0.646374456951188,5.68603304152025,3.00356581079469e-05,0.0037051394545013,"NA"
"Tcas007531",1.40608359105937,1.40665896461953,5.9147090748002,3.08948352062487e-05,0.00376464869976631,"UP"
"Tcas012414",1.11364739551853,1.11391918895539,6.5790343115479,3.13304157838805e-05,0.00377172909051245,"UP"
"Tcas011487",1.11729409712276,1.11736929587425,8.48338728240699,3.47639360937955e-05,0.0041035686029229,"UP"
"Tcas012598",-2.71189810903524,-2.81482296071586,0.50938391915875,3.49082597326307e-05,0.0041035686029229,"DOWN"
"Tcas007633",1.19553037345022,1.19573062155617,7.12804532382917,3.63916630260473e-05,0.00422820345297982,"UP"
"Tcas009262",0.80049343541733,0.800599115024409,7.38389637164243,3.92538114000041e-05,0.0045083227989522,"NA"
"Tcas008523",-1.25367652247084,-1.25448802983213,5.32437995326256,4.51645706511231e-05,0.00509561605211093,"DOWN"
"Tcas005092",1.16986051850177,1.17001086857258,7.50901263236269,4.53872926979457e-05,0.00509561605211093,"UP"
"Tcas007985",0.830455653693711,0.830561475568916,7.43020735503292,4.71395423895751e-05,0.00523353675062927,"NA"
"Tcas003844",1.65977963492892,1.65994342798717,8.10630361351001,5.47961401887956e-05,0.0060167366238071,"UP"
"Tcas002557",0.980868445088517,0.980874875084486,11.6942133723081,5.65867417893853e-05,0.0061458122169515,"NA"
"Tcas006300",0.94597337603899,0.946166760072753,6.79069553462906,6.0995836367971e-05,0.00655344512891146,"NA"
"Tcas010072",1.69260663661194,1.69278070903612,8.05609202070775,6.21585726503436e-05,0.00659300790011924,"UP"
"Tcas001544",1.87237868920974,1.87345838420897,5.77187436159452,6.26837220287557e-05,0.00659300790011924,"UP"
"Tcas005214",1.47756846935594,1.4803321519579,3.78944109335348,6.73396108838506e-05,0.00700893116616079,"UP"
"Tcas000686",-0.835787011539305,-0.836062883708437,6.41459979954526,6.99156894739119e-05,0.00720203679611678,"NA"
"Tcas000564",-4.88591561329422,-4.92036099242677,4.18547967609429,7.18026101252427e-05,0.00732093551399413,"DOWN"
"Tcas003161",-2.3111671338539,-2.32263377431896,4.22488625886028,7.69193423237984e-05,0.00774542184092468,"DOWN"
"Tcas011537",0.838313252407121,0.838389779572353,7.93264142039632,7.75162313943623e-05,0.00774542184092468,"NA"
"Tcas011930",2.76000356600528,2.76005641272538,11.2513429962515,7.91152349511105e-05,0.00782692502605442,"UP"
"Tcas011193",-0.931330456604953,-0.931720078857836,5.95879204528252,8.72979441612984e-05,0.0085517750790166,"NA"
"Tcas000658",-0.975312015142735,-0.976091145445761,4.84543296433628,8.91354616547306e-05,0.0085701980969715,"NA"
"Tcas011443",0.718077758311671,0.718475846421482,5.31305471422304,8.92014213455801e-05,0.0085701980969715,"NA"
"Tcas004678",1.22139464220211,1.22160485325321,7.09870007669639,9.14411706980428e-05,0.00870171597728423,"UP"
"Tcas011971",-1.06382535169823,-1.06406898241701,7.22875320242269,9.94689554219395e-05,0.00937635662807566,"DOWN"
"Tcas002138",0.780175773287318,0.780246346511701,7.93074028019562,0.000100751362037124,0.00940848233154154,"NA"
"Tcas010516",0.701474175202851,0.701644375093912,6.50736622133694,0.00010246127682108,0.00947956553700213,"NA"
"Tcas002779",1.17740670918727,1.1783763883458,4.8095435736474,0.000108284653850865,0.00992642441539306,"UP"
"Tcas008924",3.19364054385046,3.19644656167185,5.92025749896996,0.000118630388422042,0.0107759531010277,"UP"
"Tcas007433",1.71174971400727,1.71230667812698,6.34770415034071,0.000122544032997659,0.0110311709703838,"UP"
"Tcas007810",0.722602407138755,0.723203950955646,4.72939149539769,0.00012581794874886,0.0112247584276661,"NA"
"Tcas006630",1.31400042474909,1.31406870283478,8.93194002931532,0.00012776269230594,0.0112973878010704,"UP"
"Tcas009006",0.883255216433725,0.883549848076181,6.0934141431281,0.000137176311639136,0.0118712903885245,"NA"
"Tcas004017",1.50539258979794,1.50587484696822,6.35513568915678,0.000137717329062452,0.0118712903885245,"UP"
"Tcas001333",0.8334607938971,0.833704719213996,6.22998383624146,0.000137817222284712,0.0118712903885245,"NA"
"Tcas005872",1.16710399160771,1.16873390396611,4.14370803738033,0.000140451517934016,0.0119794036467574,"UP"
"Tcas001035",0.653408492548127,0.653501001803142,7.24325910879912,0.000141470139143052,0.0119794036467574,"NA"
"Tcas009610",0.787960057748914,0.788109914813441,6.83962999760516,0.000154042478212965,0.012918264042203,"NA"
"Tcas004456",1.69404131340777,1.69818125285034,3.50347390332547,0.000155143283132943,0.012918264042203,"UP"
"Tcas003893",0.759808840982112,0.760029053665921,6.20091676281427,0.000165973999289059,0.0135980560739608,"NA"
"Tcas004215",-2.14552468123151,-2.18921978977148,1.12842314349433,0.000167781478404168,0.0135980560739608,"DOWN"
"Tcas007380",-1.07418868813936,-1.07520984802053,4.99527533019845,0.000169679646512844,0.0135980560739608,"DOWN"
"Tcas000696",-2.25634857850095,-2.2727288720377,2.94404232065376,0.0001699884846834,0.0135980560739608,"DOWN"
"Tcas011630",-1.40744579876802,-1.40762314358378,8.55468207363263,0.000172559658332038,0.0135980560739608,"DOWN"
"Tcas002945",0.949154594844038,0.949693930134589,5.34588998869664,0.000173080621313475,0.0135980560739608,"NA"
"Tcas000260",0.99774803937997,0.997920151900129,7.04351316989968,0.000173721970679233,0.0135980560739608,"NA"
"Tcas009042",0.804306524927261,0.804361198864701,8.33020850886735,0.000174194473325358,0.0135980560739608,"NA"
"Tcas012355",0.641387496109674,0.641595255940304,6.07053471722951,0.000178619270345073,0.0138353779014571,"NA"
"Tcas001190",1.07989689736853,1.08017233873159,6.51855774276606,0.000192461492435971,0.0146517956543188,"UP"
"Tcas004433",1.20718369658804,1.2092301052568,3.82344247724434,0.000193119114661979,0.0146517956543188,"UP"
"Tcas009523",1.61450273389056,1.6146755834091,7.9422603712709,0.000193558549476589,0.0146517956543188,"UP"
"Tcas009593",1.62098898280261,1.62576781498166,3.20511705801397,0.000206079677474781,0.0154823168220151,"UP"
"Tcas001710",0.634699911696108,0.635155567549417,4.92843436563176,0.000210949971694182,0.0157299411728975,"NA"
"Tcas012473",1.90284781536352,1.92309026113105,1.72458967649368,0.000214535005542735,0.0158787687065408,"UP"
"Tcas006712",0.66141724788915,0.661555227026922,6.64412639021674,0.000226126399928992,0.0166136396183124,"NA"
"Tcas000442",-0.845524799471998,-0.846065693097128,5.15798147777607,0.000229958628773335,0.0167718731292202,"NA"
"Tcas011155",0.743454577529961,0.743547615680072,7.45442626122943,0.000233967592646145,0.0169406100414513,"NA"
"Tcas002980",1.22986562215894,1.23113373368699,4.54218098412643,0.000243944581046488,0.017535929883572,"UP"
"Tcas011402",1.34332678492553,1.34510359584515,4.27638199058375,0.000250151621044605,0.0178536785534121,"UP"
"Tcas001795",0.899814280954892,0.900252008855391,5.50998764996589,0.000254282482938301,0.018019791273188,"NA"
"Tcas011394",-0.731623202917388,-0.732935063464809,3.70443130790414,0.000264632882438035,0.0186212095867665,"NA"
"Tcas006786",0.776077878458077,0.77632032877245,6.13714925339023,0.000277208450723183,0.0193696981792031,"NA"
"Tcas004274",0.869289196519619,0.869452721158422,6.92122992615513,0.00029937923268769,0.0207735923126069,"NA"
"Tcas008050",0.549628127699717,0.549946492434349,5.23119347788788,0.000306519886283474,0.0211223910603067,"NA"
"Tcas000114",0.776619912979062,0.776729411496519,7.29520650534903,0.000310779727364003,0.0212692536700076,"NA"
"Tcas012524",2.66182856192595,2.72560539745651,1.16378492728252,0.000320052159920402,0.0217548379722766,"UP"
"Tcas011344",0.886633760189704,0.886891753704624,6.23992406476304,0.00032735204733847,0.0220887643307455,"NA"
"Tcas010773",2.58292067908121,2.58839283554784,4.25226917439689,0.000329386097406032,0.0220887643307455,"UP"
"Tcas001657",0.946335089210098,0.946608626430051,6.27671621803502,0.000332132096834477,0.022124426077134,"NA"
"Tcas000934",-1.07403672640409,-1.07441066665146,6.38180601134671,0.000370708747727228,0.0245306079953011,"DOWN"
"Tcas003334",1.7607578155499,1.77011723881855,2.49081460214395,0.000377140955951261,0.0247920554727961,"UP"
"Tcas003028",0.552600118708362,0.552802369247946,5.88572167643551,0.000385703809191698,0.0251892317741402,"NA"
"Tcas012290",1.21082100472959,1.21212645277989,4.48270300452462,0.000392328005383461,0.0254554638298152,"UP"
"Tcas006637",0.89418691329647,0.894292149404827,7.5376683819316,0.00041094129968826,0.0264911320418393,"NA"
"Tcas000454",-0.64991966587111,-0.651329244038231,3.45293486476631,0.000415578768058349,0.0266183528874296,"NA"
"Tcas010555",-1.04110660790277,-1.04120896495808,8.32925950458305,0.000424870768185497,0.0266696523069478,"DOWN"
"Tcas001272",-1.07148331493154,-1.07253152322762,4.57459192300955,0.000426286276197562,0.0266696523069478,"DOWN"
"Tcas002146",0.869734343821324,0.869831275630051,7.63490690164573,0.000427196891994107,0.0266696523069478,"NA"
"Tcas008646",-1.98014207635172,-2.01639991354942,0.942564908013174,0.000427734307653916,0.0266696523069478,"DOWN"
"Tcas007005",0.979498608950354,0.979533662558873,9.31128372593157,0.00042972518228769,0.0266696523069478,"NA"
"Tcas004113",1.69616922853959,1.69624583641276,9.31790671520491,0.000436646920958802,0.026884863472454,"UP"
"Tcas000748",0.701850616772565,0.702161546081096,5.63450016304974,0.000439006206814979,0.026884863472454,"NA"
"Tcas000567",0.575792165398876,0.575924287417271,6.52670418519372,0.000441264772766459,0.026884863472454,"NA"
"Tcas003902",1.20460846843329,1.20478956437375,7.31427368058416,0.000446712160118377,0.027051805478199,"UP"
"Tcas004297",-1.12361871280103,-1.12652392776101,3.28832584556266,0.000468861016491761,0.0279941257426241,"DOWN"
"Tcas005925",-1.31215252426525,-1.31232147515752,8.20005307327472,0.000472081901786128,0.0279941257426241,"DOWN"
"Tcas005008",-0.705106204971287,-0.705390364804539,6.32594860524834,0.000474523143862032,0.0279941257426241,"NA"
"Tcas005493",0.510819171949982,0.510861467029355,7.99120754065334,0.000474676052189086,0.0279941257426241,"NA"
"Tcas008614",1.06759690129542,1.06761895477638,9.08393739043686,0.00047634524709354,0.0279941257426241,"UP"
"Tcas005581",0.711966094917635,0.712615625030033,4.61261960192646,0.000479082816452034,0.0279941257426241,"NA"
"Tcas005528",-1.32919920561257,-1.32930697060247,8.84542905805232,0.000506229683262983,0.0294084127625798,"DOWN"
"Tcas010364",2.3011456541856,2.30235517700279,6.09670095082861,0.000518865045274743,0.0298842893127063,"UP"
"Tcas010714",0.682231397273435,0.682280356513806,8.17958448883542,0.000520402956406214,0.0298842893127063,"NA"
"Tcas000357",1.29015352443535,1.29110686076893,5.04571895874507,0.000528136103583127,0.0301550625543006,"UP"
"Tcas001666",0.652649603308751,0.65271025097046,7.82149714915786,0.00053541839415512,0.0303971624681702,"NA"
"Tcas000909",3.19948949884613,3.20661213725647,4.40137771469504,0.000538867033138126,0.0304201095769274,"UP"
"Tcas004806",-0.570965862943339,-0.571543278912774,4.74379310410861,0.000550911827167727,0.0309253425677524,"NA"
"Tcas008681",0.940955361829864,0.941479214265261,5.29794774159951,0.000576005420510621,0.0321533305125258,"NA"
"Tcas012311",0.885297365672876,0.886477272017022,4.10956554085106,0.000579759788546576,0.0321831100397633,"NA"
"Tcas005966",0.798356345661209,0.798474733129944,7.2575550005374,0.000586629752707046,0.0323845551881149,"NA"
"Tcas011747",2.37170050323828,2.39800265494222,1.87965986216633,0.000600570072511018,0.0329719569479675,"UP"
"Tcas008106",1.60008010726818,1.60516747042553,3.13740060976862,0.000626846089326059,0.0340887653898166,"UP"
"Tcas003936",-0.769257449646926,-0.771011434533655,3.39397150308348,0.000627735471549865,0.0340887653898166,"NA"
"Tcas001613",0.811668227891954,0.811928220398044,6.06438856094206,0.000637140967620303,0.0342822651588554,"NA"
"Tcas006375",-1.50876329368148,-1.52968318162775,1.42948468860897,0.000638160660483097,0.0342822651588554,"DOWN"
"Tcas012520",1.19423629005535,1.19601747586232,4.01333026484785,0.000642129490235871,0.0342854055337842,"UP"
"Tcas004893",1.17371605365204,1.17445298407617,5.2352117893657,0.000645081689386652,0.0342854055337842,"UP"
"Tcas012507",0.684792506050613,0.685827283248354,3.89103483431666,0.000675025953263061,0.0356870863756852,"NA"
"Tcas006439",0.603447294775352,0.60400158467519,4.54059486396764,0.000685428555756915,0.0359426950349961,"NA"
"Tcas010596",1.2359748159205,1.23641560153656,6.0620347502566,0.000687055119263837,0.0359426950349961,"UP"
"Tcas011173",1.26813719652522,1.26830395408104,7.49565019690292,0.000693928398941163,0.0361131904282297,"UP"
"Tcas003695",1.33404293788571,1.33429420594181,7.00542785349151,0.000719256518543883,0.0370792665631234,"UP"
"Tcas006807",1.28133133120408,1.28179904263957,6.06616886973809,0.000722167154616111,0.0370792665631234,"UP"
"Tcas004398",0.559673573655133,0.559742213118579,7.34772445352151,0.000723624597659034,0.0370792665631234,"NA"
"Tcas001732",-1.04996329397465,-1.05033598875209,6.05556805226418,0.000729109132677677,0.0371622710297479,"DOWN"
"Tcas012447",0.663305436667783,0.664294844427042,3.89454719291092,0.00073268288559451,0.0371622710297479,"NA"
"Tcas006465",-0.665202593311908,-0.66558007681384,5.38647760096006,0.000742518392567158,0.0374709281743992,"NA"
"Tcas008722",1.09533531254029,1.10009490407,2.48869826930986,0.000747289637126548,0.0375222012772285,"UP"
"Tcas005065",0.66499439679842,0.665109265508809,6.99039130033703,0.00075520987030398,0.0377302851203868,"NA"
"Tcas007958",1.31993273309819,1.32064231205934,5.63278487173026,0.000766443980984597,0.0379505164334221,"UP"
"Tcas011849",-0.821395290238388,-0.821714834407286,5.89015011638088,0.000769542449325208,0.0379505164334221,"NA"
"Tcas012351",-0.807960756983926,-0.808489747946332,5.20090719157371,0.000774347970329367,0.0379505164334221,"NA"
"Tcas005306",1.03090641844052,1.03165999551404,4.9609478900338,0.000774810383548649,0.0379505164334221,"UP"
"Tcas004167",0.554144808735061,0.554484332243891,5.15020946765293,0.000780921655043951,0.0380632642790203,"NA"
"Tcas007637",-1.03403242824309,-1.03422631367039,6.94111166482375,0.000787856033779509,0.0382148421821595,"DOWN"
"Tcas004528",-0.878715968745691,-0.879759808831486,4.37824740835836,0.000801269996158071,0.0386777285102002,"NA"
"Tcas004902",-0.957810143668843,-0.958250319694482,5.71104597749624,0.000816046001312241,0.0392015944476534,"NA"
"Tcas012002",0.649749485453086,0.650058587348841,5.40598096640837,0.000828296868114005,0.0395997239530868,"NA"
"Tcas012194",-0.956633405830622,-0.961320898203562,2.84189824456341,0.000839687726053723,0.0399478768344308,"NA"
"Tcas002644",0.725064237010575,0.725854473094287,4.35477229157779,0.000843575061255494,0.0399478768344308,"NA"
"Tcas009202",0.804881175132213,0.804996857189241,7.26697593721995,0.000848358594812915,0.0399849013177861,"NA"
"Tcas004209",0.573120268015493,0.573324577498163,5.89810315362812,0.000854102022241983,0.0400666075410418,"NA"
"Tcas009165",0.582304832984358,0.582495076233944,6.04287863561197,0.000880474211083727,0.0410586023002605,"NA"
"Tcas004372",-1.00295471893245,-1.01001132771326,1.89210640406586,0.000888015448490647,0.0410586023002605,"DOWN"
"Tcas000131",0.579359447945731,0.579675649085209,5.3247336692973,0.000889453178956622,0.0410586023002605,"NA"
"Tcas005487",0.972243182821875,0.9729931700004,4.88390973988395,0.000893496686731995,0.0410586023002605,"NA"
"Tcas007293",0.994102688614224,0.994540527216272,5.68428566348804,0.000895794165478062,0.0410586023002605,"NA"
"Tcas012401",-0.653412642715649,-0.653743287072769,5.67631187583699,0.000912981353689891,0.0416222574526393,"NA"
"Tcas005565",-1.57024459297717,-1.57154857773144,4.9501333714342,0.000916422802199824,0.0416222574526393,"DOWN"
"Tcas010798",0.646120105938406,0.646298970560534,6.26393542789773,0.000936505378982519,0.0423419083565309,"NA"
"Tcas002098",0.829645381881872,0.829786769386862,7.03104121688145,0.00095785091400007,0.0431119204175167,"NA"
"Tcas002618",0.514044988158286,0.514261411756256,5.67778686627718,0.000975041036851354,0.0435994562337043,"NA"
"Tcas011339",-2.58478630638577,-2.59468340317546,3.73486704067683,0.000977409747432923,0.0435994562337043,"DOWN"
"Tcas010639",0.972218797167997,0.972317399228501,7.77916689076433,0.000994866119674452,0.0440619285310353,"NA"
"Tcas001635",2.85851759241585,2.88880651538267,2.1417318829195,0.000997378882784797,0.0440619285310353,"UP"
"Tcas011061",0.600182045107124,0.600825640338448,4.31985446986403,0.00100216012186935,0.0440619285310353,"NA"
"Tcas006142",0.935388921644059,0.935395187701766,11.5905632036248,0.00100541630355044,0.0440619285310353,"NA"
"Tcas012075",-1.73233948063485,-1.73500266594623,4.17207780120383,0.00102798057095493,0.0446816452836535,"DOWN"
"Tcas005361",-0.648845861293664,-0.650892922158986,2.98635335669789,0.00102850064203766,0.0446816452836535,"NA"
"Tcas010109",1.85661634528797,1.86037893637681,3.80435763396659,0.00105029799247698,0.0454310716053248,"UP"
"Tcas001802",0.510772710249117,0.51084582491298,7.17224100938668,0.00106093873736507,0.0456935338954818,"NA"
"Tcas003021",0.666307004110108,0.666546656406308,5.92488070997688,0.00107625182806896,0.0461541127298929,"NA"
"Tcas008219",0.488168933311346,0.488425646953378,5.35090544320383,0.00108615801337573,0.0463798755113262,"NA"
"Tcas006530",0.871025902103533,0.871184882072556,6.95671106576453,0.00113145101498217,0.0479337222807969,"NA"
"Tcas006244",-1.96348919223243,-1.99236919182293,2.27546923937502,0.00113214155907407,0.0479337222807969,"DOWN"
"Tcas008143",1.29006495353515,1.29008300280123,10.6731919258066,0.00114919108408674,0.0483343221708047,"UP"
"Tcas004153",-1.0829819948878,-1.08365258369455,5.31667672378049,0.0011513802808203,0.0483343221708047,"DOWN"
"Tcas000010",0.526995415761977,0.527162086364337,6.07797836157988,0.00115710488995052,0.0483343221708047,"NA"
"Tcas009224",0.826964505159409,0.827055947482376,7.64569435365345,0.00116095249409459,0.0483343221708047,"NA"
"Tcas003185",0.648771422360839,0.649381266647805,4.49861481333337,0.00118027267419584,0.0488158372378056,"NA"
"Tcas011905",0.649971900830385,0.650359532620864,5.19397945835261,0.00118228909242884,0.0488158372378056,"NA"
"Tcas008676",1.6234169086374,1.62345881953161,10.0513426507529,0.00120217435315346,0.0494326178465407,"UP"
"Tcas002204",1.61507175311427,1.62301949650223,2.61294311667172,0.00121618976287112,0.0498039676664271,"UP"
"Tcas007447",1.52082137529944,1.52307693912825,4.12207451685486,0.00123061588183828,0.0499172731732048,"UP"
"Tcas010196",0.976962099770028,0.981225824735696,2.47055178280315,0.00123394443657285,0.0499172731732048,"NA"
